id_evenement,date,annee,type_evenement,gravite,departement,exploitant,nb_morts,nb_blesses,cause_presumee,contexte,source
63,2015-07-26,2015,PN,significatif,14,SNCF Réseau,1,5,obstacle_PN,PN,SNCF_rapport
64,2014-12-28,2014,incident_materiel,mineur,44,SNCF Voyageurs,0,0,defaut_infrastructure,maintenance,EPSF_synthese
65,2010-07-13,2010,incendie,grave,54,SNCF Voyageurs,0,6,incendie_bord,maintenance,EPSF_synthese
66,2016-04-05,2016,PN,grave,83,SNCF Réseau,3,36,erreur_humaine,PN,SNCF_rapport
67,2010-08-15,2010,collision,mineur,51,SNCF Voyageurs,0,0,excès_vitesse,circulation_commerciale,EPSF_synthese
68,2012-06-07,2012,acte_malveillance,mineur,62,RATP,0,0,vol_cable,PN,SNCF_rapport
69,2023-08-07,2023,acte_malveillance,mineur,38,RATP,0,0,acte_malveillance,PN,SNCF_rapport
70,2010-12-30,2010,incendie,significatif,83,RATP,1,0,defaillance_materiel,circulation_commerciale,BEATT_rapport
71,2014-06-03,2014,PN,grave,63,SNCF Réseau,2,23,non_respect_signalisation,PN,BEATT_rapport
72,2017-01-15,2017,incendie,significatif,59,RATP,0,6,incendie_bord,maintenance,BEATT_rapport
73,2019-02-28,2019,PN,grave,33,SNCF Réseau,3,2,non_respect_signalisation,PN,EPSF_synthese
74,2019-06-07,2019,incendie,grave,85,RATP,5,5,defaillance_materiel,circulation_commerciale,SNCF_rapport
75,2019-02-09,2019,acte_malveillance,grave,42,SNCF Voyageurs,1,9,acte_malveillance,PN,SNCF_rapport
76,2023-01-04,2023,acte_malveillance,mineur,73,SNCF Voyageurs,0,1,jet_de_projectiles,PN,SNCF_rapport
77,2014-10-17,2014,acte_malveillance,significatif,25,RATP,0,5,vol_cable,circulation_commerciale,SNCF_rapport
78,2021-07-24,2021,incendie,grave,45,SNCF Voyageurs,1,11,acte_malveillance,maintenance,BEATT_rapport
79,2016-12-17,2016,incident_materiel,grave,14,SNCF Voyageurs,2,20,defaillance_freinage,circulation_commerciale,EPSF_synthese
80,2020-08-28,2020,acte_malveillance,significatif,91,SNCF Voyageurs,0,8,acte_malveillance,PN,BEATT_rapport
81,2014-05-12,2014,incendie,significatif,69,SNCF Voyageurs,0,1,acte_malveillance,maintenance,EPSF_synthese
82,2013-04-23,2013,incendie,significatif,72,SNCF Voyageurs,0,8,acte_malveillance,circulation_commerciale,EPSF_synthese
83,2013-12-11,2013,incendie,mineur,84,SNCF Voyageurs,0,0,acte_malveillance,maintenance,EPSF_synthese
84,2012-09-21,2012,deraillement,significatif,73,SNCF Voyageurs,0,7,excès_vitesse,circulation_commerciale,BEATT_rapport
85,2021-04-28,2021,deraillement,significatif,73,SNCF Voyageurs,0,0,erreur_humaine,travaux,SNCF_rapport
86,2015-07-19,2015,incendie,significatif,45,RATP,0,2,defaillance_materiel,maintenance,SNCF_rapport
87,2019-11-13,2019,collision,grave,63,SNCF Réseau,0,30,excès_vitesse,circulation_commerciale,SNCF_rapport
88,2022-02-11,2022,collision,grave,67,SNCF Réseau,1,8,non_respect_signalisation,circulation_commerciale,BEATT_rapport
89,2013-06-05,2013,incendie,significatif,71,SNCF Voyageurs,0,0,incendie_bord,circulation_commerciale,SNCF_rapport
90,2022-03-04,2022,deraillement,significatif,71,SNCF Réseau,0,4,erreur_humaine,travaux,SNCF_rapport
91,2023-02-06,2023,incendie,mineur,6,SNCF Voyageurs,0,0,incendie_bord,maintenance,SNCF_rapport
92,2016-09-12,2016,deraillement,significatif,77,SNCF Réseau,0,0,erreur_humaine,maintenance,EPSF_synthese
93,2016-02-14,2016,deraillement,grave,63,SNCF Voyageurs,1,6,erreur_humaine,travaux,BEATT_rapport
94,2019-01-26,2019,incendie,significatif,89,SNCF Voyageurs,0,7,incendie_bord,maintenance,BEATT_rapport
95,2010-08-09,2010,deraillement,significatif,33,SNCF Voyageurs,0,2,defaut_infrastructure,travaux,SNCF_rapport
96,2014-01-28,2014,collision,grave,42,SNCF Réseau,0,21,excès_vitesse,circulation_commerciale,SNCF_rapport
97,2017-05-01,2017,PN,significatif,51,SNCF Réseau,0,2,non_respect_signalisation,PN,EPSF_synthese
98,2020-07-19,2020,collision,significatif,92,SNCF Réseau,0,5,erreur_humaine,circulation_commerciale,EPSF_synthese
99,2024-08-14,2024,collision,grave,13,SNCF Réseau,1,24,erreur_humaine,circulation_commerciale,BEATT_rapport
100,2013-06-02,2013,incident_materiel,mineur,31,RATP,0,0,defaillance_freinage,maintenance,BEATT_rapport
101,2014-11-21,2014,deraillement,significatif,87,SNCF Réseau,0,9,defaillance_materiel,circulation_commerciale,BEATT_rapport
102,2012-07-27,2012,incident_materiel,significatif,13,RATP,0,0,defaillance_signalisation,circulation_commerciale,SNCF_rapport
103,2022-11-30,2022,incendie,mineur,38,RATP,0,1,defaillance_materiel,maintenance,EPSF_synthese
104,2023-04-13,2023,incendie,significatif,95,SNCF Voyageurs,0,9,acte_malveillance,circulation_commerciale,SNCF_rapport
105,2023-06-20,2023,collision,grave,72,SNCF Voyageurs,3,13,erreur_humaine,circulation_commerciale,BEATT_rapport
106,2018-04-24,2018,collision,mineur,77,SNCF Réseau,0,0,excès_vitesse,circulation_commerciale,EPSF_synthese
107,2019-09-22,2019,PN,grave,34,SNCF Réseau,0,8,erreur_humaine,PN,SNCF_rapport
108,2013-12-13,2013,incendie,grave,83,RATP,2,12,acte_malveillance,maintenance,SNCF_rapport
109,2020-06-05,2020,deraillement,grave,25,SNCF Réseau,0,34,defaillance_materiel,circulation_commerciale,SNCF_rapport
110,2020-02-10,2020,incident_materiel,mineur,93,RATP,0,0,defaut_infrastructure,essais,SNCF_rapport
111,2017-07-18,2017,collision,mineur,77,SNCF Réseau,0,0,defaillance_signalisation,circulation_commerciale,EPSF_synthese
112,2017-12-16,2017,PN,grave,95,SNCF Réseau,0,22,non_respect_signalisation,PN,SNCF_rapport
113,2022-06-20,2022,collision,significatif,71,SNCF Réseau,0,5,non_respect_signalisation,circulation_commerciale,SNCF_rapport
114,2022-06-15,2022,incident_materiel,mineur,77,RATP,0,0,defaut_infrastructure,essais,SNCF_rapport
115,2010-05-22,2010,collision,grave,95,SNCF Réseau,0,5,excès_vitesse,circulation_commerciale,EPSF_synthese
116,2016-11-13,2016,incendie,significatif,84,SNCF Voyageurs,0,3,acte_malveillance,maintenance,BEATT_rapport
117,2017-09-17,2017,deraillement,significatif,54,SNCF Voyageurs,0,7,defaillance_materiel,circulation_commerciale,SNCF_rapport
118,2015-08-22,2015,incident_materiel,significatif,62,SNCF Voyageurs,1,9,defaillance_materiel,essais,EPSF_synthese
119,2022-01-07,2022,incendie,significatif,76,SNCF Voyageurs,0,2,incendie_bord,circulation_commerciale,SNCF_rapport
120,2023-03-23,2023,acte_malveillance,significatif,38,SNCF Réseau,0,4,jet_de_projectiles,PN,SNCF_rapport
121,2015-02-07,2015,PN,significatif,83,SNCF Réseau,0,8,obstacle_PN,PN,EPSF_synthese
122,2016-02-26,2016,collision,grave,33,SNCF Voyageurs,0,1,erreur_humaine,circulation_commerciale,BEATT_rapport
123,2021-01-04,2021,collision,significatif,76,SNCF Réseau,0,5,erreur_humaine,circulation_commerciale,SNCF_rapport
124,2017-08-23,2017,incident_materiel,significatif,31,SNCF Voyageurs,0,4,defaillance_materiel,maintenance,EPSF_synthese
125,2018-12-27,2018,deraillement,significatif,34,SNCF Réseau,0,4,defaut_infrastructure,maintenance,EPSF_synthese
126,2022-08-16,2022,PN,grave,84,SNCF Réseau,1,12,obstacle_PN,PN,SNCF_rapport
127,2023-08-07,2023,acte_malveillance,significatif,67,RATP,0,5,jet_de_projectiles,circulation_commerciale,SNCF_rapport
128,2019-12-06,2019,PN,mineur,85,SNCF Réseau,0,0,erreur_humaine,PN,BEATT_rapport
129,2011-05-09,2011,acte_malveillance,mineur,91,SNCF Réseau,0,0,jet_de_projectiles,circulation_commerciale,EPSF_synthese
130,2015-12-08,2015,incendie,grave,37,SNCF Voyageurs,2,12,incendie_bord,circulation_commerciale,BEATT_rapport
131,2011-09-07,2011,incident_materiel,mineur,95,SNCF Voyageurs,0,1,defaillance_materiel,maintenance,BEATT_rapport
132,2020-07-16,2020,PN,grave,57,SNCF Réseau,0,30,obstacle_PN,PN,BEATT_rapport
133,2020-03-08,2020,collision,grave,86,SNCF Voyageurs,0,5,non_respect_signalisation,circulation_commerciale,BEATT_rapport
134,2014-06-09,2014,deraillement,grave,92,SNCF Réseau,0,10,defaut_infrastructure,maintenance,EPSF_synthese
135,2015-12-17,2015,incident_materiel,significatif,59,SNCF Voyageurs,0,0,defaillance_materiel,circulation_commerciale,BEATT_rapport
136,2022-10-07,2022,PN,grave,95,SNCF Réseau,2,16,non_respect_signalisation,PN,SNCF_rapport
137,2019-01-11,2019,PN,mineur,25,SNCF Réseau,0,0,erreur_humaine,PN,BEATT_rapport
138,2010-11-23,2010,deraillement,mineur,13,SNCF Voyageurs,0,0,defaillance_materiel,maintenance,EPSF_synthese
139,2015-02-19,2015,incendie,grave,54,RATP,1,35,acte_malveillance,circulation_commerciale,BEATT_rapport
140,2010-11-26,2010,incident_materiel,significatif,73,RATP,0,2,defaut_infrastructure,essais,SNCF_rapport
141,2014-01-26,2014,acte_malveillance,significatif,76,SNCF Réseau,0,0,vol_cable,PN,SNCF_rapport
142,2019-02-28,2019,PN,grave,63,SNCF Réseau,4,29,non_respect_signalisation,PN,SNCF_rapport
143,2021-02-10,2021,PN,mineur,14,SNCF Réseau,0,0,erreur_humaine,PN,SNCF_rapport
144,2011-12-23,2011,PN,mineur,69,SNCF Réseau,0,0,non_respect_signalisation,PN,BEATT_rapport
145,2010-01-10,2010,incendie,significatif,17,SNCF Voyageurs,0,7,acte_malveillance,maintenance,EPSF_synthese
146,2021-08-18,2021,PN,significatif,73,SNCF Réseau,0,1,erreur_humaine,PN,EPSF_synthese
147,2014-07-26,2014,PN,significatif,73,SNCF Réseau,0,9,erreur_humaine,PN,BEATT_rapport
148,2020-11-14,2020,collision,grave,35,SNCF Voyageurs,1,29,erreur_humaine,circulation_commerciale,SNCF_rapport
149,2022-05-10,2022,collision,mineur,31,SNCF Réseau,0,0,defaillance_signalisation,circulation_commerciale,SNCF_rapport
150,2012-08-20,2012,incendie,grave,57,RATP,1,37,incendie_bord,maintenance,BEATT_rapport
151,2016-02-18,2016,deraillement,grave,75,SNCF Réseau,3,35,erreur_humaine,circulation_commerciale,BEATT_rapport
152,2013-03-30,2013,deraillement,significatif,21,SNCF Réseau,0,6,excès_vitesse,maintenance,SNCF_rapport
153,2019-04-23,2019,PN,grave,57,SNCF Réseau,3,32,erreur_humaine,PN,BEATT_rapport
154,2016-09-11,2016,acte_malveillance,grave,73,SNCF Réseau,1,13,jet_de_projectiles,PN,BEATT_rapport
155,2020-11-11,2020,PN,grave,62,SNCF Réseau,0,30,non_respect_signalisation,PN,EPSF_synthese
156,2015-05-11,2015,acte_malveillance,grave,14,SNCF Voyageurs,1,25,vol_cable,circulation_commerciale,SNCF_rapport
157,2020-08-10,2020,incendie,significatif,92,RATP,0,0,defaillance_materiel,maintenance,EPSF_synthese
158,2021-02-09,2021,collision,mineur,73,SNCF Réseau,0,2,non_respect_signalisation,circulation_commerciale,EPSF_synthese
159,2021-10-18,2021,deraillement,grave,71,SNCF Réseau,1,28,defaut_infrastructure,maintenance,BEATT_rapport
160,2013-06-18,2013,collision,grave,89,SNCF Réseau,5,19,defaillance_signalisation,circulation_commerciale,BEATT_rapport
161,2018-12-01,2018,incendie,significatif,83,RATP,0,4,incendie_bord,maintenance,SNCF_rapport
162,2017-02-07,2017,incendie,mineur,14,RATP,0,0,acte_malveillance,maintenance,BEATT_rapport
163,2011-07-15,2011,incident_materiel,significatif,25,RATP,0,6,defaillance_signalisation,circulation_commerciale,SNCF_rapport
164,2012-03-17,2012,incendie,grave,35,SNCF Voyageurs,0,39,acte_malveillance,circulation_commerciale,BEATT_rapport
165,2016-09-19,2016,collision,grave,57,SNCF Réseau,0,35,erreur_humaine,circulation_commerciale,SNCF_rapport
166,2018-05-29,2018,deraillement,grave,85,SNCF Voyageurs,1,18,excès_vitesse,travaux,BEATT_rapport
167,2014-01-15,2014,incident_materiel,grave,67,RATP,2,17,defaillance_freinage,circulation_commerciale,BEATT_rapport
168,2015-05-27,2015,deraillement,mineur,91,SNCF Voyageurs,0,0,excès_vitesse,travaux,SNCF_rapport
169,2020-04-22,2020,PN,grave,57,SNCF Réseau,0,27,erreur_humaine,PN,BEATT_rapport
170,2022-04-05,2022,incident_materiel,significatif,86,SNCF Voyageurs,0,4,defaillance_materiel,maintenance,SNCF_rapport
171,2024-05-01,2024,deraillement,significatif,38,SNCF Voyageurs,0,0,defaillance_materiel,circulation_commerciale,SNCF_rapport
172,2020-11-02,2020,collision,grave,64,SNCF Voyageurs,0,7,non_respect_signalisation,circulation_commerciale,BEATT_rapport
173,2016-08-20,2016,incendie,grave,69,RATP,2,6,defaillance_materiel,circulation_commerciale,SNCF_rapport
174,2010-03-08,2010,acte_malveillance,significatif,77,RATP,0,5,jet_de_projectiles,circulation_commerciale,SNCF_rapport
175,2015-03-01,2015,acte_malveillance,significatif,38,RATP,0,2,vol_cable,circulation_commerciale,BEATT_rapport
176,2015-08-16,2015,incendie,mineur,30,RATP,0,0,acte_malveillance,circulation_commerciale,BEATT_rapport
177,2024-06-30,2024,collision,mineur,86,SNCF Réseau,0,0,excès_vitesse,circulation_commerciale,SNCF_rapport
178,2012-12-12,2012,collision,mineur,71,SNCF Voyageurs,0,0,excès_vitesse,circulation_commerciale,EPSF_synthese
179,2014-07-03,2014,incident_materiel,mineur,54,RATP,0,0,defaillance_signalisation,essais,EPSF_synthese
180,2015-10-07,2015,deraillement,grave,31,SNCF Voyageurs,1,25,defaillance_materiel,maintenance,SNCF_rapport
181,2011-09-09,2011,incident_materiel,significatif,94,RATP,0,5,defaillance_freinage,essais,SNCF_rapport
182,2022-07-02,2022,PN,grave,51,SNCF Réseau,7,21,obstacle_PN,PN,BEATT_rapport
183,2012-10-09,2012,deraillement,mineur,86,SNCF Voyageurs,0,2,defaillance_materiel,maintenance,SNCF_rapport
184,2024-04-27,2024,PN,grave,13,SNCF Réseau,0,19,obstacle_PN,PN,BEATT_rapport
185,2022-08-05,2022,PN,grave,21,SNCF Réseau,1,14,erreur_humaine,PN,BEATT_rapport
186,2020-05-31,2020,incendie,mineur,33,SNCF Voyageurs,0,2,defaillance_materiel,maintenance,EPSF_synthese
187,2010-11-01,2010,PN,grave,45,SNCF Réseau,1,23,non_respect_signalisation,PN,BEATT_rapport
188,2013-01-16,2013,deraillement,mineur,86,SNCF Voyageurs,0,0,erreur_humaine,circulation_commerciale,BEATT_rapport
189,2013-06-19,2013,deraillement,grave,54,SNCF Voyageurs,4,12,defaut_infrastructure,circulation_commerciale,EPSF_synthese
190,2018-04-24,2018,incident_materiel,mineur,66,SNCF Voyageurs,0,0,defaut_infrastructure,maintenance,EPSF_synthese
191,2018-03-29,2018,acte_malveillance,mineur,69,SNCF Réseau,0,0,jet_de_projectiles,PN,SNCF_rapport
192,2014-04-04,2014,collision,significatif,42,SNCF Voyageurs,0,4,defaillance_signalisation,circulation_commerciale,BEATT_rapport
193,2024-05-05,2024,acte_malveillance,grave,45,SNCF Voyageurs,7,17,acte_malveillance,circulation_commerciale,EPSF_synthese
194,2022-08-31,2022,incident_materiel,mineur,86,SNCF Voyageurs,0,0,defaillance_materiel,essais,EPSF_synthese
195,2015-03-24,2015,PN,grave,34,SNCF Réseau,0,13,obstacle_PN,PN,EPSF_synthese
196,2022-02-12,2022,PN,grave,13,SNCF Réseau,3,18,obstacle_PN,PN,EPSF_synthese
197,2010-05-02,2010,PN,significatif,37,SNCF Réseau,0,8,obstacle_PN,PN,SNCF_rapport
198,2011-03-06,2011,incident_materiel,mineur,21,SNCF Voyageurs,0,2,defaut_infrastructure,essais,SNCF_rapport
199,2020-01-21,2020,PN,grave,78,SNCF Réseau,0,33,erreur_humaine,PN,EPSF_synthese
200,2023-10-18,2023,collision,grave,13,SNCF Voyageurs,1,11,excès_vitesse,circulation_commerciale,EPSF_synthese
201,2020-09-28,2020,deraillement,significatif,77,SNCF Réseau,0,5,erreur_humaine,maintenance,BEATT_rapport
202,2019-12-13,2019,collision,grave,34,SNCF Voyageurs,1,33,erreur_humaine,circulation_commerciale,EPSF_synthese
203,2012-10-30,2012,PN,significatif,87,SNCF Réseau,0,0,erreur_humaine,PN,BEATT_rapport
204,2016-08-12,2016,deraillement,mineur,92,SNCF Réseau,0,0,erreur_humaine,travaux,BEATT_rapport
205,2022-05-14,2022,incendie,significatif,44,SNCF Voyageurs,0,4,incendie_bord,maintenance,SNCF_rapport
206,2017-08-08,2017,deraillement,grave,62,SNCF Réseau,1,37,erreur_humaine,circulation_commerciale,SNCF_rapport
207,2017-01-04,2017,incendie,grave,94,SNCF Voyageurs,2,19,defaillance_materiel,maintenance,SNCF_rapport
208,2011-07-04,2011,collision,significatif,30,SNCF Réseau,0,0,erreur_humaine,circulation_commerciale,BEATT_rapport
209,2018-05-11,2018,incident_materiel,grave,84,RATP,1,1,defaillance_materiel,essais,SNCF_rapport
210,2012-09-28,2012,deraillement,grave,17,SNCF Voyageurs,1,28,defaillance_materiel,maintenance,SNCF_rapport
211,2023-06-20,2023,PN,significatif,78,SNCF Réseau,0,9,non_respect_signalisation,PN,EPSF_synthese
212,2013-06-21,2013,incendie,significatif,64,SNCF Voyageurs,0,1,defaillance_materiel,circulation_commerciale,BEATT_rapport
213,2018-03-31,2018,collision,grave,84,SNCF Réseau,1,5,excès_vitesse,circulation_commerciale,BEATT_rapport
214,2023-10-06,2023,incendie,mineur,93,RATP,0,1,acte_malveillance,circulation_commerciale,BEATT_rapport
215,2015-12-31,2015,collision,grave,59,SNCF Voyageurs,1,23,non_respect_signalisation,circulation_commerciale,SNCF_rapport
216,2017-11-15,2017,collision,grave,93,SNCF Voyageurs,1,2,non_respect_signalisation,circulation_commerciale,SNCF_rapport
217,2011-07-25,2011,incident_materiel,significatif,80,RATP,1,1,defaillance_materiel,circulation_commerciale,EPSF_synthese
218,2018-06-09,2018,deraillement,significatif,66,SNCF Réseau,0,2,erreur_humaine,circulation_commerciale,SNCF_rapport
219,2017-04-11,2017,acte_malveillance,grave,34,SNCF Réseau,0,38,jet_de_projectiles,circulation_commerciale,EPSF_synthese
220,2023-11-10,2023,collision,significatif,93,SNCF Réseau,1,6,erreur_humaine,circulation_commerciale,SNCF_rapport
221,2020-11-22,2020,acte_malveillance,significatif,42,SNCF Voyageurs,0,3,vol_cable,PN,BEATT_rapport
222,2012-07-21,2012,PN,significatif,94,SNCF Réseau,0,0,non_respect_signalisation,PN,BEATT_rapport
223,2023-04-21,2023,deraillement,significatif,69,SNCF Réseau,0,1,defaillance_materiel,travaux,BEATT_rapport
224,2011-03-25,2011,collision,grave,33,SNCF Réseau,0,11,non_respect_signalisation,circulation_commerciale,SNCF_rapport
225,2016-06-29,2016,PN,mineur,72,SNCF Réseau,0,0,obstacle_PN,PN,EPSF_synthese
226,2012-11-24,2012,deraillement,mineur,21,SNCF Voyageurs,0,0,excès_vitesse,maintenance,SNCF_rapport
227,2010-12-13,2010,deraillement,mineur,62,SNCF Réseau,0,0,defaut_infrastructure,circulation_commerciale,BEATT_rapport
228,2019-08-18,2019,acte_malveillance,mineur,31,SNCF Voyageurs,0,0,vol_cable,PN,SNCF_rapport
229,2010-06-20,2010,PN,grave,66,SNCF Réseau,1,29,obstacle_PN,PN,EPSF_synthese
230,2019-10-18,2019,collision,grave,69,SNCF Voyageurs,1,19,non_respect_signalisation,circulation_commerciale,BEATT_rapport
231,2011-10-07,2011,deraillement,grave,44,SNCF Voyageurs,0,22,defaillance_materiel,maintenance,SNCF_rapport
232,2013-10-09,2013,collision,mineur,64,SNCF Réseau,0,0,erreur_humaine,circulation_commerciale,BEATT_rapport
233,2024-06-23,2024,incident_materiel,mineur,51,SNCF Voyageurs,0,0,defaillance_freinage,circulation_commerciale,EPSF_synthese
234,2013-11-22,2013,acte_malveillance,significatif,91,SNCF Réseau,0,8,acte_malveillance,circulation_commerciale,SNCF_rapport
235,2020-05-28,2020,acte_malveillance,mineur,85,RATP,0,0,jet_de_projectiles,PN,BEATT_rapport
