id_evenement,date,annee,type_evenement,gravite,departement,exploitant,nb_morts,nb_blesses,cause_presumee,contexte,source
33,2018-04-25,2018,PN,significatif,17,SNCF Réseau,0,2,non_respect_signalisation,PN,EPSF_synthese
34,2018-07-14,2018,incident_materiel,significatif,69,SNCF Voyageurs,0,1,defaillance_materiel,circulation_commerciale,SNCF_rapport
35,2018-10-29,2018,incendie,grave,75,SNCF Voyageurs,0,8,incendie_bord,circulation_commerciale,EPSF_synthese
36,2019-01-09,2019,deraillement,significatif,44,SNCF Réseau,0,3,defaut_infrastructure,travaux,SNCF_rapport
37,2019-03-17,2019,acte_malveillance,significatif,93,SNCF Réseau,0,0,jet_de_projectiles,circulation_commerciale,SNCF_rapport
38,2019-06-05,2019,collision,significatif,31,SNCF Réseau,0,5,defaillance_signalisation,circulation_commerciale,EPSF_synthese
39,2019-09-22,2019,PN,grave,62,SNCF Réseau,1,4,obstacle_PN,PN,BEATT_rapport
40,2020-02-14,2020,incident_materiel,mineur,13,SNCF Voyageurs,0,0,defaillance_freinage,maintenance,SNCF_rapport
41,2020-05-03,2020,incendie,significatif,69,SNCF Voyageurs,0,2,incendie_bord,circulation_commerciale,EPSF_synthese
42,2020-09-11,2020,collision,significatif,75,RATP,0,3,erreur_humaine,circulation_commerciale,SNCF_rapport
43,2021-01-27,2021,PN,significatif,59,SNCF Réseau,0,1,non_respect_signalisation,PN,EPSF_synthese
44,2021-04-16,2021,deraillement,significatif,33,SNCF Réseau,0,2,defaut_infrastructure,circulation_commerciale,SNCF_rapport
45,2021-07-08,2021,acte_malveillance,significatif,91,SNCF Réseau,0,0,vol_cable,maintenance,SNCF_rapport
46,2021-10-19,2021,incident_materiel,significatif,76,SNCF Voyageurs,0,1,defaillance_materiel,circulation_commerciale,EPSF_synthese
47,2022-02-06,2022,collision,grave,44,SNCF Réseau,1,7,erreur_humaine,circulation_commerciale,BEATT_rapport
48,2022-05-21,2022,PN,significatif,17,SNCF Réseau,0,3,obstacle_PN,PN,EPSF_synthese
49,2022-08-30,2022,incident_materiel,mineur,69,SNCF Voyageurs,0,0,defaillance_freinage,essais,SNCF_rapport
50,2022-11-12,2022,incendie,significatif,75,SNCF Voyageurs,0,4,incendie_bord,circulation_commerciale,EPSF_synthese
51,2023-03-04,2023,deraillement,significatif,62,SNCF Réseau,0,5,defaut_infrastructure,circulation_commerciale,SNCF_rapport
52,2023-06-17,2023,acte_malveillance,significatif,93,SNCF Réseau,0,1,jet_de_projectiles,circulation_commerciale,SNCF_rapport
53,2023-09-09,2023,collision,significatif,31,SNCF Réseau,0,6,defaillance_signalisation,circulation_commerciale,EPSF_synthese
54,2023-12-01,2023,PN,grave,59,SNCF Réseau,1,3,non_respect_signalisation,PN,BEATT_rapport
55,2024-02-10,2024,incident_materiel,significatif,13,SNCF Voyageurs,0,1,defaillance_materiel,circulation_commerciale,SNCF_rapport
56,2024-04-28,2024,incendie,significatif,75,SNCF Voyageurs,0,2,incendie_bord,circulation_commerciale,EPSF_synthese
57,2024-07-06,2024,collision,grave,33,SNCF Réseau,1,5,erreur_humaine,circulation_commerciale,BEATT_rapport
58,2024-09-19,2024,PN,significatif,62,SNCF Réseau,0,2,obstacle_PN,PN,EPSF_synthese
59,2024-10-30,2024,deraillement,significatif,44,SNCF Réseau,0,3,defaut_infrastructure,travaux,SNCF_rapport
60,2024-12-15,2024,acte_malveillance,significatif,91,SNCF Réseau,0,0,vol_cable,maintenance,SNCF_rapport
